SNo,Resource ,Item,Latitude,Longitude ,Addreess,Website,Mobile
1,Grab and Go Fridges/Markets,Love Fridge — The Kindness Korner,41.69188224,-87.53200666,"11202 S Ave G, Chicago, IL 60617",https://www.thelovefridge.com/,
2,Grab and Go Fridges/Markets,Love Fridge — South Shore Fridge,41.76086286738130,-87.56387596,"2465 E 74th St, Chicago, IL 60649",https://www.thelovefridge.com/,
3,Grab and Go Fridges/Markets,Love Fridge — Getting Grown Collective,41.77851521665810,-87.64997206,"6344 S Morgan St, Chicago, IL 60621",https://www.thelovefridge.com/,
4,Grab and Go Fridges/Markets,Love Fridge — Augustana Lutheran Church,41.79524914030190,-87.59760524,"5500 S Woodlawn Ave, Chicago, IL 60637",https://www.thelovefridge.com/,
5,Grab and Go Fridges/Markets,Love Fridge — Rodfei Zedek Love Fridge,41.80099756269500,-87.5850713,"5200 S Hyde Park Blvd, Chicago, IL 60615",https://www.thelovefridge.com/,
6,Grab and Go Fridges/Markets,Love Fridge — Take It Off Your Plate (Boxville),41.80232317918700,-87.61822583,"332 E 51st St, Chicago, IL 60615",https://www.thelovefridge.com/,
7,Grab and Go Fridges/Markets,Love Fridge — Star Farm,41.79986556160290,-87.67176596,"5155 S Wolcott Ave, Chicago, IL 60609",https://www.thelovefridge.com/,
8,Grab and Go Fridges/Markets,Love Fridge — Port Ministries,41.802460027729700,-87.66832588,"5031 S Hermitage Ave, Chicago, IL 60609",https://www.thelovefridge.com/,
9,Grab and Go Fridges/Markets,Love Fridge — The Love Fridge at the Breathing Room,41.80198692,-87.66128091,"1434 W 51st St, Chicago, IL 60609",https://www.thelovefridge.com/,
10,Grab and Go Fridges/Markets,Love Fridge — The Love Fridge at the Plant,41.81089920589960,-87.66054865,"1400 W 46th St, Chicago, IL 60609",https://www.thelovefridge.com/,
11,Grab and Go Fridges/Markets,Love Fridge — The Fridge on Marz,41.82810603,-87.65979577,"3630 S Iron St, Chicago, IL 60609",https://www.thelovefridge.com/,
12,Grab and Go Fridges/Markets,Love Fridge — The Love Shack,41.853787067806300,-87.69469952,"2751 W 21st St, Chicago, IL 60623",https://www.thelovefridge.com/,
13,Grab and Go Fridges/Markets,Love Fridge — Comida Para el Pueblo (Pilsen),41.85696703466290,-87.66177686,"1855 S Blue Island Ave, Chicago, IL 60608",https://www.thelovefridge.com/,
14,Grab and Go Fridges/Markets,Love Fridge — Stone Temple Fridge,41.86346396,-87.71650686,"3622 W Douglas Blvd, Chicago, IL 60623",https://www.thelovefridge.com/,
15,Grab and Go Fridges/Markets,Alt_Market,41.88730993,-87.75962667,"5339 W Lake St, Chicago, IL 60644",https://www.altspacechicago.com/home/altmarket,
16,Grab and Go Fridges/Markets,Love Fridge — Patchwork Farms,41.89558565433910,-87.69772763,"2825 W Chicago Ave, Chicago, IL 60622",https://www.thelovefridge.com/,
17,Grab and Go Fridges/Markets,Love Fridge — Chicago Lights,41.897261469262900,-87.64038747,"444 W Chicago Ave, Chicago, IL 60654",https://www.thelovefridge.com/,
18,Grab and Go Fridges/Markets,Love Fridge — Keystone Fridge,41.92323653,-87.72760154,"2311 N Keystone Ave, Chicago, IL 60639",https://www.thelovefridge.com/,
19,Grab and Go Fridges/Markets,Love Fridge — West (f)Ridge,41.99692467619360,-87.69992876,"6328 N California Ave, Chicago, IL 60659",https://www.thelovefridge.com/,
20,Grab and Go Fridges/Markets,Love Fridge — Elpeeda at Honeybear Cafe,42.01042519429730,-87.67451896,"7036 N Clark St, Chicago, IL 60626",https://www.thelovefridge.com/,
